Date-Month,Precipitation,Temperature,WTE,FCH4 Date-Month,FCH4_Avg,FCO2 Date-Month,FC02_Avg
1990-01,0.125,18.275,413.56,2009-04,13.47,2009-01,-0.070728749
1990-02,0.08,12.812,413.52,2009-05,23.44,2009-02,0.002064405
1990-03,0.165,28.454,413.48,2009-06,48.63,2009-03,-0.248664831
1990-04,0.2,40.883,413.51,2009-07,59.3,2009-04,-0.522134822
1990-05,0.07,50.81,413.56,2009-08,67.31,2009-05,-1.444106716
1990-06,0.46,63.716,413.58,2009-09,46.16,2009-06,-2.278444191
1990-07,0.145,66.254,413.56,2009-10,27.02,2009-07,-3.718233571
1990-08,0.07,66.695,413.48,2009-11,19,2009-08,-3.519290901
1990-09,0.15,56.057,413.42,2009-12,10.05,2009-09,-1.798406067
1990-10,0.345,40.451,413.39,2010-01,9.93,2009-10,-0.377087433
1990-11,0.05,29.876,413.38,2010-02,7.64,2009-11,-0.459176873
1990-12,0.095,9.383,413.36,2010-03,10,2009-12,-0.32699218
1991-01,0.08,3.632,413.32,2010-04,12.04,2010-01,-0.134048697
1991-02,0.095,17.951,413.28,2010-05,14.3,2010-02,-0.217298968
1991-03,0.12,28.58,413.26,2010-06,22.2,2010-03,-0.521260732
1991-04,0.235,45.374,413.26,2010-07,46.77,2010-04,-0.982676723
1991-05,0.275,59.351,413.33,2010-08,66.35,2010-05,-1.267191861
1991-06,0.34,65.84,413.35,2010-09,55.59,2010-06,-2.753788936
1991-07,0.245,66.983,413.34,2010-10,36.09,2010-07,-3.526297898
1991-08,0.2,68.459,413.27,2010-11,18.8,2010-08,-2.756569508
1991-09,0.285,54.5,413.23,2010-12,13.04,2010-09,-1.675022828
1991-10,0.15,40.01,413.23,2011-01,10.01,2010-10,-0.579250897
1991-11,0.24,20.39,413.22,2011-02,8.73,2010-11,-0.169618611
1991-12,0.1,12.776,413.21,2011-03,8.05,2010-12,-0.065565965
1992-01,0.05,14.342,413.18,2011-04,12.94,2011-01,-0.017848344
1992-02,0.1,19.58,413.16,2011-05,22.77,2011-02,-0.095049415
1992-03,0.085,26.483,413.14,2011-06,14.58,2011-03,-0.385911983
1992-04,0.145,36.14,413.15,2011-07,29.5,2011-04,-0.812429344
1992-05,0.3,53.366,413.21,2011-09,56.43,2011-05,-1.347334434
1992-06,0.565,57.38,413.25,2011-10,48.64,2011-06,-2.756256045
1992-07,0.35,58.532,413.31,2011-11,29.27,2011-07,-4.05492851
1992-08,0.485,59.117,413.32,2011-12,15.89,2011-08,-4.230457807
