Date,yyyy-mm-dd,FCH4 Value,AVG FCH4,Standardized FCH4 AVG
3/17/2015,,24.015,,
3/17/2015,,20.562,,
3/17/2015,,15.607,,
3/17/2015,,18.182,,
3/17/2015,,20.261,,
3/17/2015,,18.318,,
3/17/2015,,21.739,,
3/17/2015,,18.09,,
3/17/2015,,16.064,,
3/17/2015,,18.86,,
3/17/2015,,16.591,,
3/17/2015,,14.264,,
3/17/2015,,17.149,,
3/17/2015,,15.686,,
3/17/2015,,14.049,,
3/17/2015,,14.318,,
3/17/2015,,11.991,,
3/17/2015,,11.266,,
3/18/2015,,13.962,,
3/18/2015,,12.637,,
3/18/2015,,10.511,,
3/18/2015,,11.35,,
3/18/2015,,25.876,,
3/18/2015,,28.199,,
3/18/2015,,23.382,,
3/18/2015,,16.023,,
3/18/2015,,12.001,,
3/18/2015,,13.955,,
3/18/2015,,33.727,,
3/19/2015,,16.874,,
3/19/2015,,16.549,,
3/19/2015,,11.38,,
3/20/2015,,21.374,,
3/20/2015,,13.412,,
3/20/2015,,15.041,,
3/20/2015,,13.263,,
3/20/2015,,14.308,,
3/20/2015,,13.428,,
3/20/2015,,19.243,,
3/20/2015,,15.971,,
3/20/2015,,16.592,,
3/20/2015,,15.09,,
3/20/2015,,13.872,,
3/20/2015,,13.869,,
3/20/2015,,15.166,,
3/20/2015,,15.513,,
3/20/2015,,19.811,,
3/20/2015,,23.403,,
3/20/2015,,17.895,,
3/20/2015,,6.883,,
3/20/2015,,11.469,,
3/20/2015,,10.288,,
3/20/2015,,15.102,,
3/20/2015,,-3.537,,
3/20/2015,,14.519,,
3/20/2015,,13.982,,
3/20/2015,,14.01,,
3/20/2015,,16.981,,
3/20/2015,,12.244,,
3/20/2015,,11.783,,
3/20/2015,,12.811,,
3/21/2015,,9.836,,
3/21/2015,,13.843,,
3/21/2015,,6.95,,
3/21/2015,,6.285,,
3/21/2015,,8.969,,
3/21/2015,,9.947,,
3/21/2015,,9.164,,
3/21/2015,,8.195,,
3/21/2015,,7.874,,
3/21/2015,,10.668,,
3/21/2015,,8.613,,
3/21/2015,,6.654,,
3/21/2015,,8.112,,
3/21/2015,,8.692,,
3/21/2015,,8.325,,
3/21/2015,,7.986,,
3/21/2015,,9.078,,
3/21/2015,,8.693,,
3/21/2015,,14.418,,
3/21/2015,,22.088,,
3/21/2015,,29.037,,
3/21/2015,,19.646,,
3/21/2015,,24.06,,
3/21/2015,,24.933,,
3/21/2015,,18.513,,
3/21/2015,,23.218,,
3/21/2015,,29.996,,
3/21/2015,,23.997,,
3/21/2015,,19.958,,
3/21/2015,,15.231,,
3/21/2015,,17.845,,
3/21/2015,,15.991,,
3/21/2015,,15.841,,
3/21/2015,,17.207,,
3/21/2015,,20.55,,
3/21/2015,,13.626,,
3/21/2015,,15.241,,
3/21/2015,,16.175,,
3/21/2015,,15.388,,
3/21/2015,,13.178,,
3/21/2015,,13.985,,
3/21/2015,,13.495,,
3/21/2015,,11.193,,
3/21/2015,,9.102,,
3/22/2015,,19.045,,
3/22/2015,,5.847,,
3/22/2015,,14.866,,
3/22/2015,,9.63,,
3/22/2015,,7.726,,
3/22/2015,,9.136,,
3/22/2015,,33.959,,
