Date-Month,FCH4_Avg
2009-04,13.47
2009-05,23.44
2009-06,48.63
2009-07,59.3
2009-08,67.31
2009-09,46.16
2009-10,27.02
2009-11,19
2009-12,10.05
2010-01,9.93
2010-02,7.64
2010-03,10
2010-04,12.04
2010-05,14.3
2010-06,22.2
2010-07,46.77
2010-08,66.35
2010-09,55.59
2010-10,36.09
2010-11,18.8
2010-12,13.04
2011-01,10.01
2011-02,8.73
2011-03,8.05
2011-04,12.94
2011-05,22.77
2011-06,14.58
2011-07,29.5
2011-09,56.43
2011-10,48.64
2011-11,29.27
2011-12,15.89
2012-01,16.87
2012-02,14.01
2012-03,17.12
2012-04,19.35
2012-05,29.22
2012-06,58.21
2012-07,46.27
2012-08,34.47
2012-09,56.17
2012-10,38.03
2012-11,18.8
2012-12,12.56
2013-04,10.36
2013-05,13.23
2013-06,48.74
2014-01,13.77
2014-02,9.04
2014-03,10.73
2014-05,28.14
2014-06,46.88
2014-07,41.52
2014-08,77.54
2014-09,64.03
2014-10,48.36
2014-12,14.3
2015-03,17.48
2015-04,19.21
2015-05,19.93
2015-07,60.81
2015-08,51.84
2015-09,47.21
2015-10,40.25
2015-11,11.95
2015-12,17.58
2016-01,9.59
2016-02,8.65
2016-03,10.15
2016-04,12.35
2016-05,22.15
2016-06,52.07
2016-07,61.53
2016-08,86.18
2016-09,68.95
2016-10,45.38
2016-11,31.65
2016-12,15.64
2017-01,10.77
2017-02,7.94
2017-03,8.85
2017-04,35.13
2017-05,39.2
2017-06,71.12
2017-07,89.49
2017-08,77.64
2017-09,62.12
2017-10,44.33
2017-11,24.61
2017-12,16.57
2018-01,13.05
2018-02,11.48
2018-03,11.99
2018-04,12.43
2018-05,19.94
2018-06,43.44
2018-07,83.41
2018-08,68.5
2018-09,58.01
2018-10,32.13
2018-11,21.29
2018-12,17.56
2019-01,11.23
2019-02,11.33
2019-03,11.43
2019-04,13.11
2019-05,25.97
2019-06,53.33
2019-07,61.95
2019-08,65.93
2019-09,53.48
2019-10,35.06
2019-11,18.83
2019-12,15.49
2020-01,11.47
2020-02,10.17
2020-03,8.58
2020-04,18.23
2020-05,31.22
2020-06,43.07
2020-07,67.05
2020-08,61.74
2020-09,71.64
2020-10,43.37
2020-11,22.14
2020-12,19.26
2021-01,16.22
2021-02,12.51
2021-03,13.92
2021-04,19.49
2021-05,21.58
2021-06,44.1
2021-07,39.36
2021-08,30.99
2021-09,30.76
2021-10,28.54
2021-11,18.57
2021-12,10.25
