depth10cm,Year,Yearly Avg Soil Temp (10CM),Yearly Avg Soil Temp (F) 10CM,Month/Year,Monthly Avg Soil Temp (10CM)
18.1,1990,6.49,43.682,8/1990,
17.5,1991,7.05,44.69,8/1990,
16.1,1992,6.68,44.024,9/1990,
17.3,1993,6.64,43.952,9/1990,
13.1,1994,6.97,44.546,9/1990,
11.5,1995,5.76,42.368,9/1990,
10.4,1996,6.56,43.808,10/1990,
3.4,1997,6.6,43.88,10/1990,
3.8,1998,6.79,44.222,10/1990,
3.4,1999,6.43,43.574,10/1990,
4.1,2000,6.21,43.178,10/1990,
1.6,2001,7.45,45.41,11/1990,
0.3,2002,6.3,43.34,11/1990,
2.1,2003,5.41,41.738,11/1990,
0.2,2004,6.54,43.772,11/1990,
-0.3,2005,7.57,45.626,12/1990,
0,2006,6.92,44.456,12/1990,
-0.2,2007,6,42.8,12/1990,
0,2008,4.89,40.802,12/1990,
0,2009,5.43,41.774,1/1991,
0.1,2010,6.81,44.258,1/1991,
0.1,2011,7.57,45.626,1/1991,
0,2012,6.57,43.826,1/1991,
-0.3,2013,5.98,42.764,1/1991,
0.2,2014,5.9,42.62,2/1991,
0,2015,5.73,42.314,2/1991,
0.1,2016,7.18,44.924,2/1991,
0.1,2017,7.13,44.834,2/1991,
0,2018,6.1,42.98,3/1991,
0.2,2019,6.49,43.682,3/1991,
0.2,2020,6.61,43.898,3/1991,
0,2021,3.3,37.94,3/1991,
0,,,,4/1991,
0.2,,,,4/1991,
0.4,,,,4/1991,
0.5,,,,4/1991,
1.3,,,,5/1991,
4.6,,,,5/1991,
13.7,,,,5/1991,
15,,,,5/1991,
15.9,,,,5/1991,
15.5,,,,6/1991,
16.2,,,,6/1991,
16.9,,,,6/1991,
17.9,,,,6/1991,
17,,,,7/1991,
16.8,,,,7/1991,
19.2,,,,7/1991,
17.7,,,,7/1991,
16.9,,,,7/1991,
17.1,,,,8/1991,
17.6,,,,8/1991,
16.4,,,,8/1991,
18,,,,8/1991,
16,,,,9/1991,
15.8,,,,9/1991,
12.3,,,,9/1991,
12.2,,,,9/1991,
9.6,,,,10/1991,
7.2,,,,10/1991,
7.4,,,,10/1991,
6.3,,,,10/1991,
4.2,,,,10/1991,
3.8,,,,11/1991,
3.6,,,,11/1991,
2.9,,,,11/1991,
1.3,,,,11/1991,
0.5,,,,12/1991,
0.7,,,,12/1991,
0.3,,,,12/1991,
0.4,,,,1/1992,
0.6,,,,1/1992,
0.5,,,,1/1992,
