Date-Month,Year,South Precipitation Mean,North Precipitation Mean,Cumulative Precipitation Mean
1990-01,1990,0.12,0.13,0.125
1990-02,1990,0.08,0.08,0.08
1990-03,1990,0.17,0.16,0.165
1990-04,1990,0.18,0.22,0.2
1990-05,1990,0.08,0.06,0.07
1990-06,1990,0.43,0.49,0.46
1990-07,1990,0.14,0.15,0.145
1990-08,1990,0.08,0.06,0.07
1990-09,1990,0.15,0.15,0.15
1990-10,1990,0.36,0.33,0.345
1990-11,1990,0.05,0.05,0.05
1990-12,1990,0.09,0.1,0.095
1991-01,1991,0.08,0.08,0.08
1991-02,1991,0.1,0.09,0.095
1991-03,1991,0.13,0.11,0.12
1991-04,1991,0.23,0.24,0.235
1991-05,1991,0.25,0.3,0.275
1991-06,1991,0.35,0.33,0.34
1991-07,1991,0.24,0.25,0.245
1991-08,1991,0.21,0.19,0.2
1991-09,1991,0.29,0.28,0.285
1991-10,1991,0.15,0.15,0.15
1991-11,1991,0.24,0.24,0.24
1991-12,1991,0.1,0.1,0.1
1992-01,1992,0.05,0.05,0.05
1992-02,1992,0.1,0.1,0.1
1992-03,1992,0.09,0.08,0.085
1992-04,1992,0.14,0.15,0.145
1992-05,1992,0.28,0.32,0.3
1992-06,1992,0.67,0.46,0.565
1992-07,1992,0.37,0.33,0.35
1992-08,1992,0.46,0.51,0.485
1992-09,1992,0.31,0.28,0.295
1992-10,1992,0.02,0.02,0.02
1992-11,1992,0.12,0.12,0.12
1992-12,1992,0.15,0.17,0.16
1993-01,1993,0.08,0.09,0.085
1993-02,1993,0.01,0.02,0.015
1993-03,1993,0.1,0.08,0.09
1993-04,1993,0.24,0.23,0.235
1993-05,1993,0.22,0.2,0.21
1993-06,1993,0.35,0.37,0.36
1993-07,1993,0.66,0.6,0.63
1993-08,1993,0.29,0.36,0.325
1993-09,1993,0.23,0.31,0.27
1993-10,1993,0.09,0.1,0.095
1993-11,1993,0.21,0.2,0.205
1993-12,1993,0.11,0.1,0.105
1994-01,1994,0.08,0.08,0.08
1994-02,1994,0.07,0.07,0.07
1994-03,1994,0.1,0.09,0.095
1994-04,1994,0.24,0.24,0.24
1994-05,1994,0.21,0.23,0.22
1994-06,1994,0.74,0.73,0.735
1994-07,1994,0.31,0.28,0.295
1994-08,1994,0.36,0.3,0.33
1994-09,1994,0.26,0.27,0.265
1994-10,1994,0.21,0.22,0.215
1994-11,1994,0.17,0.17,0.17
1994-12,1994,0.05,0.06,0.055
1995-01,1995,0.09,0.1,0.095
1995-02,1995,0.08,0.09,0.085
1995-03,1995,0.08,0.08,0.08
1995-04,1995,0.14,0.14,0.14
1995-05,1995,0.21,0.22,0.215
1995-06,1995,0.18,0.13,0.155
1995-07,1995,0.62,0.54,0.58
1995-08,1995,0.3,0.42,0.36
1995-09,1995,0.55,0.54,0.545
1995-10,1995,0.33,0.34,0.335
1995-11,1995,0.16,0.16,0.16
1995-12,1995,0.18,0.18,0.18
1996-01,1996,0.18,0.18,0.18
1996-02,1996,0.16,0.17,0.165
1996-03,1996,0.08,0.08,0.08
1996-04,1996,0.14,0.14,0.14
1996-05,1996,0.18,0.14,0.16
1996-06,1996,0.37,0.35,0.36
1996-07,1996,0.37,0.39,0.38
1996-08,1996,0.11,0.11,0.11
1996-09,1996,0.35,0.31,0.33
1996-10,1996,0.37,0.39,0.38
1996-11,1996,0.31,0.32,0.315
1996-12,1996,0.13,0.13,0.13
1997-01,1997,0.2,0.19,0.195
1997-02,1997,0.05,0.05,0.05
1997-03,1997,0.16,0.16,0.16
1997-04,1997,0.08,0.1,0.09
1997-05,1997,0.2,0.2,0.2
1997-06,1997,0.52,0.5,0.51
1997-07,1997,0.46,0.44,0.45
1997-08,1997,0.15,0.13,0.14
1997-09,1997,0.35,0.38,0.365
1997-10,1997,0.23,0.22,0.225
1997-11,1997,0.13,0.13,0.13
1997-12,1997,0.03,0.02,0.025
1998-01,1998,0.07,0.07,0.07
1998-02,1998,0.1,0.1,0.1
1998-03,1998,0.14,0.15,0.145
1998-04,1998,0.07,0.07,0.07
1998-05,1998,0.39,0.35,0.37
1998-06,1998,0.37,0.36,0.365
1998-07,1998,0.28,0.24,0.26
1998-08,1998,0.2,0.22,0.21
1998-09,1998,0.26,0.3,0.28
1998-10,1998,0.39,0.39,0.39
1998-11,1998,0.21,0.23,0.22
1998-12,1998,0.14,0.14,0.14
1999-01,1999,0.07,0.07,0.07
1999-02,1999,0.09,0.1,0.095
1999-03,1999,0.14,0.15,0.145
1999-04,1999,0.16,0.16,0.16
1999-05,1999,0.4,0.45,0.425
1999-06,1999,0.28,0.38,0.33
1999-07,1999,0.88,0.9,0.89
1999-08,1999,0.37,0.38,0.375
1999-09,1999,0.39,0.38,0.385
1999-10,1999,0.11,0.13,0.12
1999-11,1999,0.01,0.01,0.01
1999-12,1999,0.04,0.05,0.045
2000-01,2000,0.06,0.06,0.06
2000-02,2000,0.08,0.07,0.075
2000-03,2000,0.13,0.12,0.125
2000-04,2000,0.13,0.15,0.14
2000-05,2000,0.19,0.2,0.195
2000-06,2000,0.44,0.44,0.44
2000-07,2000,0.25,0.22,0.235
2000-08,2000,0.3,0.41,0.355
2000-09,2000,0.15,0.14,0.145
2000-10,2000,0.26,0.26,0.26
2000-11,2000,0.35,0.35,0.35
2000-12,2000,0.08,0.09,0.085
2001-01,2001,0.06,0.06,0.06
2001-02,2001,0.18,0.19,0.185
2001-03,2001,0.04,0.04,0.04
2001-04,2001,0.41,0.41,0.41
2001-05,2001,0.36,0.35,0.355
2001-06,2001,0.47,0.4,0.435
2001-07,2001,0.19,0.22,0.205
2001-08,2001,0.27,0.28,0.275
2001-09,2001,0.13,0.13,0.13
2001-10,2001,0.33,0.31,0.32
2001-11,2001,0.21,0.22,0.215
2001-12,2001,0.11,0.1,0.105
2002-01,2002,0.03,0.03,0.03
2002-02,2002,0.02,0.02,0.02
2002-03,2002,0.11,0.11,0.11
2002-04,2002,0.09,0.1,0.095
2002-05,2002,0.21,0.19,0.2
2002-06,2002,0.86,0.62,0.74
2002-07,2002,0.43,0.34,0.385
2002-08,2002,0.23,0.21,0.22
2002-09,2002,0.16,0.19,0.175
2002-10,2002,0.27,0.25,0.26
2002-11,2002,0.05,0.05,0.05
2002-12,2002,0.04,0.05,0.045
2003-01,2003,0.02,0.02,0.02
2003-02,2003,0.03,0.03,0.03
2003-03,2003,0.05,0.06,0.055
2003-04,2003,0.15,0.16,0.155
2003-05,2003,0.3,0.27,0.285
2003-06,2003,0.36,0.32,0.34
2003-07,2003,0.54,0.46,0.5
2003-08,2003,0.17,0.19,0.18
2003-09,2003,0.2,0.18,0.19
2003-10,2003,0.15,0.15,0.15
2003-11,2003,0.15,0.18,0.165
2003-12,2003,0.07,0.07,0.07
2004-01,2004,0.1,0.11,0.105
2004-02,2004,0.06,0.06,0.06
2004-03,2004,0.16,0.14,0.15
2004-04,2004,0.1,0.1,0.1
2004-05,2004,0.32,0.35,0.335
2004-06,2004,0.21,0.24,0.225
2004-07,2004,0.37,0.35,0.36
2004-08,2004,0.24,0.19,0.215
2004-09,2004,0.64,0.61,0.625
2004-10,2004,0.27,0.28,0.275
2004-11,2004,0.04,0.04,0.04
2004-12,2004,0.16,0.17,0.165
2005-01,2005,0.22,0.23,0.225
2005-02,2005,0.05,0.06,0.055
2005-03,2005,0.07,0.07,0.07
2005-04,2005,0.06,0.06,0.06
2005-05,2005,0.46,0.44,0.45
2005-06,2005,0.37,0.41,0.39
2005-07,2005,0.11,0.17,0.14
2005-08,2005,0.12,0.18,0.15
2005-09,2005,0.25,0.2,0.225
2005-10,2005,0.31,0.33,0.32
2005-11,2005,0.33,0.35,0.34
2005-12,2005,0.1,0.11,0.105
2006-01,2006,0.05,0.04,0.045
2006-02,2006,0.11,0.1,0.105
2006-03,2006,0.19,0.2,0.195
2006-04,2006,0.11,0.12,0.115
2006-05,2006,0.26,0.22,0.24
2006-06,2006,0.24,0.24,0.24
2006-07,2006,0.16,0.15,0.155
2006-08,2006,0.16,0.1,0.13
2006-09,2006,0.22,0.21,0.215
2006-10,2006,0.15,0.17,0.16
2006-11,2006,0.12,0.13,0.125
2006-12,2006,0.1,0.11,0.105
2007-01,2007,0.02,0.02,0.02
2007-02,2007,0.1,0.1,0.1
2007-03,2007,0.23,0.22,0.225
2007-04,2007,0.21,0.22,0.215
2007-05,2007,0.23,0.26,0.245
2007-06,2007,0.3,0.32,0.31
2007-07,2007,0.14,0.21,0.175
2007-08,2007,0.16,0.15,0.155
2007-09,2007,0.44,0.62,0.53
2007-10,2007,0.33,0.37,0.35
2007-11,2007,0.05,0.06,0.055
2007-12,2007,0.15,0.15,0.15
2008-01,2008,0.02,0.02,0.02
2008-02,2008,0.04,0.04,0.04
2008-03,2008,0.04,0.04,0.04
2008-04,2008,0.47,0.49,0.48
2008-05,2008,0.19,0.18,0.185
2008-06,2008,0.4,0.35,0.375
2008-07,2008,0.3,0.46,0.38
2008-08,2008,0.07,0.06,0.065
2008-09,2008,0.24,0.24,0.24
2008-10,2008,0.25,0.27,0.26
2008-11,2008,0.11,0.11,0.11
2008-12,2008,0.21,0.21,0.21
2009-01,2009,0.08,0.08,0.08
2009-02,2009,0.09,0.09,0.09
2009-03,2009,0.33,0.32,0.325
2009-04,2009,0.13,0.12,0.125
2009-05,2009,0.27,0.26,0.265
2009-06,2009,0.17,0.18,0.175
2009-07,2009,0.27,0.25,0.26
2009-08,2009,0.33,0.32,0.325
2009-09,2009,0.04,0.04,0.04
2009-10,2009,0.32,0.31,0.315
