Date-Month,South Precipitation Mean,North Precipitation Mean,Cumulative Precipitation Mean
1990-01,0.12,0.13,0.125
1990-02,0.08,0.08,0.08
1990-03,0.17,0.16,0.165
1990-04,0.18,0.22,0.2
1990-05,0.08,0.06,0.07
1990-06,0.43,0.49,0.46
1990-07,0.14,0.15,0.145
1990-08,0.08,0.06,0.07
1990-09,0.15,0.15,0.15
1990-10,0.36,0.33,0.345
1990-11,0.05,0.05,0.05
1990-12,0.09,0.1,0.095
1991-01,0.08,0.08,0.08
1991-02,0.1,0.09,0.095
1991-03,0.13,0.11,0.12
1991-04,0.23,0.24,0.235
1991-05,0.25,0.3,0.275
1991-06,0.35,0.33,0.34
1991-07,0.24,0.25,0.245
1991-08,0.21,0.19,0.2
1991-09,0.29,0.28,0.285
1991-10,0.15,0.15,0.15
1991-11,0.24,0.24,0.24
1991-12,0.1,0.1,0.1
1992-01,0.05,0.05,0.05
1992-02,0.1,0.1,0.1
1992-03,0.09,0.08,0.085
1992-04,0.14,0.15,0.145
1992-05,0.28,0.32,0.3
1992-06,0.67,0.46,0.565
1992-07,0.37,0.33,0.35
1992-08,0.46,0.51,0.485
1992-09,0.31,0.28,0.295
1992-10,0.02,0.02,0.02
1992-11,0.12,0.12,0.12
1992-12,0.15,0.17,0.16
1993-01,0.08,0.09,0.085
1993-02,0.01,0.02,0.015
1993-03,0.1,0.08,0.09
1993-04,0.24,0.23,0.235
1993-05,0.22,0.2,0.21
1993-06,0.35,0.37,0.36
1993-07,0.66,0.6,0.63
1993-08,0.29,0.36,0.325
1993-09,0.23,0.31,0.27
1993-10,0.09,0.1,0.095
1993-11,0.21,0.2,0.205
1993-12,0.11,0.1,0.105
1994-01,0.08,0.08,0.08
1994-02,0.07,0.07,0.07
1994-03,0.1,0.09,0.095
1994-04,0.24,0.24,0.24
1994-05,0.21,0.23,0.22
1994-06,0.74,0.73,0.735
1994-07,0.31,0.28,0.295
1994-08,0.36,0.3,0.33
1994-09,0.26,0.27,0.265
1994-10,0.21,0.22,0.215
1994-11,0.17,0.17,0.17
1994-12,0.05,0.06,0.055
1995-01,0.09,0.1,0.095
1995-02,0.08,0.09,0.085
1995-03,0.08,0.08,0.08
1995-04,0.14,0.14,0.14
1995-05,0.21,0.22,0.215
1995-06,0.18,0.13,0.155
1995-07,0.62,0.54,0.58
1995-08,0.3,0.42,0.36
1995-09,0.55,0.54,0.545
1995-10,0.33,0.34,0.335
1995-11,0.16,0.16,0.16
1995-12,0.18,0.18,0.18
1996-01,0.18,0.18,0.18
1996-02,0.16,0.17,0.165
1996-03,0.08,0.08,0.08
1996-04,0.14,0.14,0.14
1996-05,0.18,0.14,0.16
1996-06,0.37,0.35,0.36
1996-07,0.37,0.39,0.38
1996-08,0.11,0.11,0.11
1996-09,0.35,0.31,0.33
1996-10,0.37,0.39,0.38
1996-11,0.31,0.32,0.315
1996-12,0.13,0.13,0.13
1997-01,0.2,0.19,0.195
1997-02,0.05,0.05,0.05
1997-03,0.16,0.16,0.16
1997-04,0.08,0.1,0.09
1997-05,0.2,0.2,0.2
1997-06,0.52,0.5,0.51
1997-07,0.46,0.44,0.45
1997-08,0.15,0.13,0.14
1997-09,0.35,0.38,0.365
1997-10,0.23,0.22,0.225
1997-11,0.13,0.13,0.13
1997-12,0.03,0.02,0.025
1998-01,0.07,0.07,0.07
1998-02,0.1,0.1,0.1
1998-03,0.14,0.15,0.145
1998-04,0.07,0.07,0.07
1998-05,0.39,0.35,0.37
1998-06,0.37,0.36,0.365
1998-07,0.28,0.24,0.26
1998-08,0.2,0.22,0.21
1998-09,0.26,0.3,0.28
1998-10,0.39,0.39,0.39
1998-11,0.21,0.23,0.22
1998-12,0.14,0.14,0.14
1999-01,0.07,0.07,0.07
1999-02,0.09,0.1,0.095
1999-03,0.14,0.15,0.145
1999-04,0.16,0.16,0.16
1999-05,0.4,0.45,0.425
1999-06,0.28,0.38,0.33
1999-07,0.88,0.9,0.89
1999-08,0.37,0.38,0.375
1999-09,0.39,0.38,0.385
1999-10,0.11,0.13,0.12
1999-11,0.01,0.01,0.01
1999-12,0.04,0.05,0.045
2000-01,0.06,0.06,0.06
2000-02,0.08,0.07,0.075
2000-03,0.13,0.12,0.125
2000-04,0.13,0.15,0.14
2000-05,0.19,0.2,0.195
2000-06,0.44,0.44,0.44
2000-07,0.25,0.22,0.235
2000-08,0.3,0.41,0.355
2000-09,0.15,0.14,0.145
2000-10,0.26,0.26,0.26
2000-11,0.35,0.35,0.35
2000-12,0.08,0.09,0.085
2001-01,0.06,0.06,0.06
2001-02,0.18,0.19,0.185
2001-03,0.04,0.04,0.04
2001-04,0.41,0.41,0.41
2001-05,0.36,0.35,0.355
2001-06,0.47,0.4,0.435
2001-07,0.19,0.22,0.205
2001-08,0.27,0.28,0.275
2001-09,0.13,0.13,0.13
2001-10,0.33,0.31,0.32
2001-11,0.21,0.22,0.215
2001-12,0.11,0.1,0.105
2002-01,0.03,0.03,0.03
2002-02,0.02,0.02,0.02
2002-03,0.11,0.11,0.11
2002-04,0.09,0.1,0.095
2002-05,0.21,0.19,0.2
2002-06,0.86,0.62,0.74
2002-07,0.43,0.34,0.385
2002-08,0.23,0.21,0.22
2002-09,0.16,0.19,0.175
2002-10,0.27,0.25,0.26
2002-11,0.05,0.05,0.05
2002-12,0.04,0.05,0.045
2003-01,0.02,0.02,0.02
2003-02,0.03,0.03,0.03
2003-03,0.05,0.06,0.055
2003-04,0.15,0.16,0.155
2003-05,0.3,0.27,0.285
2003-06,0.36,0.32,0.34
